Change Physical Footprint: Designator=BOOT Old Footprint=SW-SMD_L6.0-W3.5-LS8.0 New Footprint=SW-SMD_L6.0-W3.5-LS8.0
Change Physical Footprint: Designator=C1 Old Footprint=FP-GCJ32E-0_4-0_3-MFG New Footprint=FP-GCJ32E-0_4-0_3-MFG
Change Physical Footprint: Designator=C2 Old Footprint=FP-GCJ32E-0_4-0_3-MFG New Footprint=FP-GCJ32E-0_4-0_3-MFG
Change Physical Footprint: Designator=F1 Old Footprint=BOUR-MF-NSMF150-2_V New Footprint=BOUR-MF-NSMF150-2_V
Change Physical Footprint: Designator=J Old Footprint=FP-217175-0001-MFG New Footprint=FP-217175-0001-MFG
Change Physical Footprint: Designator=J1 Old Footprint=61302011821 New Footprint=61302011821
Change Physical Footprint: Designator=J2 Old Footprint=61302011821 New Footprint=61302011821
Change Physical Footprint: Designator=LED_PWR Old Footprint=5730-LED New Footprint=5730-LED
Change Physical Footprint: Designator=LED_UWB_RX Old Footprint=5730-LED New Footprint=5730-LED
Change Physical Footprint: Designator=LED_UWB_TX Old Footprint=5730-LED New Footprint=5730-LED
Change Physical Footprint: Designator=P1 Old Footprint=SMTC-MTSW-104-07-X-S-170 New Footprint=SMTC-MTSW-104-07-X-S-170
Change Physical Footprint: Designator=P2 Old Footprint=SMTC-MTSW-103-07-X-D-244 New Footprint=SMTC-MTSW-103-07-X-D-244
Change Physical Footprint: Designator=P3 Old Footprint=SMTC-MTSW-104-07-X-S-170 New Footprint=SMTC-MTSW-104-07-X-S-170
Change Physical Footprint: Designator=R1_5.1K Old Footprint=FP-AF0603-MFG New Footprint=FP-AF0603-MFG
Change Physical Footprint: Designator=R2_5.1K Old Footprint=FP-AF0603-MFG New Footprint=FP-AF0603-MFG
Change Physical Footprint: Designator=R3_10K Old Footprint=FP-AF0603-MFG New Footprint=FP-AF0603-MFG
Change Physical Footprint: Designator=R4_1k Old Footprint=FP-AF0603-MFG New Footprint=FP-AF0603-MFG
Change Physical Footprint: Designator=R4_10K Old Footprint=FP-AF0603-MFG New Footprint=FP-AF0603-MFG
Change Physical Footprint: Designator=R5_1k Old Footprint=FP-AF0603-MFG New Footprint=FP-AF0603-MFG
Change Physical Footprint: Designator=R6_1k Old Footprint=FP-AF0603-MFG New Footprint=FP-AF0603-MFG
Change Physical Footprint: Designator=RESET Old Footprint=SW-SMD_L6.0-W3.5-LS8.0 New Footprint=SW-SMD_L6.0-W3.5-LS8.0
Change Physical Footprint: Designator=U1 Old Footprint=WIRELM-SMD_BU04 New Footprint=WIRELM-SMD_BU04
Change Physical Footprint: Designator=U2 Old Footprint=FP-AMS1117-IPC_C New Footprint=FP-AMS1117-IPC_C
